0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:22 +0600] "GET /zab/login HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /zab/images/bg-front-banner.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:23 +0600] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:27 +0600] "POST /zab/login HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/images/200010.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:28 +0600] "GET /zab/images/bg-front-banner.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:32 +0600] "GET /zab/login?id=200010 HTTP/1.1" 200 291717
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:33 +0600] "GET /zab/selectize.js HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:33 +0600] "GET /zab/selectize.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:33 +0600] "GET /zab/editor/editor.css HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:23:33 +0600] "GET /zab/jquery-ui.min.css HTTP/1.1" 404 1040
